메뉴 이름,재료,날씨,시간,종류,분류,배달용
돼지 불고기,"돼지고기, 파, 양파, 깻잎, 마늘",보통,낮,메인,한식,T
소불고기,"소고기, 파, 양파, 깻잎, 마늘, 버섯",보통,낮,메인,한식,T
차돌숙주볶음,"차돌박이, 소고기, 숙주, 양파, 파",더움,밤,메인,한식,T
삼겹살숙주볶음,"삼겹살, 돼지고기, 숙주, 양파, 파",더움,밤,메인,한식,T
장어구이,"장어, 생선",더움,밤,메인,한식,T
불고기 피자,"밀가루, 돼지고기, 양파, 옥수수, 버섯, 피망, 모짜렐라치즈, 치즈",보통,밤,메인,양식,T
포테이토 피자,"밀가루, 감자, 양파, 옥수수, 버섯, 피망, 모짜렐라치즈, 치즈, 토마토",보통,밤,메인,양식,T
콤비네이션 피자,"밀가루, 양파, 옥수수, 버섯, 피망, 모짜렐라치즈, 치즈, 토마토, 햄, 올리브",보통,밤,메인,양식,T
라볶이,"떡, 고추장, 어묵, 파, 라면, 면",추움,낮,메인,분식,T
삼겹김치찜,"삼겹살, 돼지고기, 김치, 양파, 파, 고추, 마늘",추움,밤,메인,한식,T
뼈해장국,"돼지뼈, 돼지고기, 마늘, 시래기, 들깨가루",추움,밤,국,한식,T
우거지 감자탕,"돼지뼈, 돼지고기, 감자, 마늘, 우거지, 들깨가루",추움,밤,메인,한식,T
묵은지 감자탕,"돼지뼈, 돼지고기, 감자, 마늘, 김치, 들깨가루",추움,밤,메인,한식,T
차돌된장찌개,"차돌박이, 소고기, 된장, 두부, 파, 양파, 마늘, 버섯",추움,낮,국,한식,T
순두부찌개,"순두부, 호박, 양파, 파, 고추, 달걀, 마늘",추움,낮,국,한식,T
갈비탕,"소갈비, 소고기, 마늘, 파",추움,낮,국,한식,T
돼지갈비,"돼지갈비, 돼지고기, 마늘",보통,밤,메인,한식,T
소갈비,"소갈비, 소고기, 마늘",보통,밤,메인,한식,T
LA 갈비,"소갈비, 소고기, 마늘",보통,밤,메인,한식,T
묵은지돼지갈비찜,"돼지갈비, 돼지고기, 김치, 양파, 마늘, 파, 고추",추움,밤,메인,한식,T
매운쪽갈비찜,"돼지등갈비, 돼지고기, 감자, 당근, 버섯, 파",추움,밤,메인,한식,T
닭볶음탕,"닭고기, 당근, 감자, 파, 고추장",추움,밤,메인,한식,T
